ID,VID,PLID,Type,LinkID
254,456,29,2,20859
255,457,29,3,20859
256,458,29,1,20859
257,459,29,2,20859
258,460,29,3,20859
259,461,30,1,95844
260,462,30,2,95844
261,463,30,3,95844
262,464,30,1,97207
263,465,30,2,97207
264,466,30,3,97207
265,467,31,1,19119
266,468,31,2,19119
267,469,31,3,19119
268,470,31,1,18729
269,471,31,2,18729
270,472,31,3,18729
271,473,31,1,18556
272,474,31,2,18556
273,475,31,3,18556
274,476,31,1,18556
275,477,31,2,18556
276,478,31,3,18556
277,479,32,1,69950
278,480,32,2,69950
279,481,32,3,69950
280,482,32,1,102915
281,483,32,2,102915
282,484,32,3,102915
283,485,32,1,100493
284,486,32,2,100493
285,487,32,3,100493
286,488,32,1,100493
287,489,32,2,100493
288,490,32,3,100493
289,491,33,1,33036
290,492,33,2,33036
291,493,33,3,33036
292,494,33,1,15816
293,495,33,2,15816
294,496,33,3,15816
295,497,33,1,17139
296,498,33,2,17139
297,499,33,3,17139
298,500,33,1,17139
299,501,33,2,17139
300,502,33,3,17139
301,503,34,1,24758
302,504,34,2,24758
303,505,34,3,24758
304,506,34,1,25706
305,507,34,2,25706
306,508,34,3,25706
307,509,34,1,24988
308,510,34,2,24988
309,511,34,3,24988
310,512,34,1,24988
311,513,34,2,24988
312,514,34,3,24988
313,515,35,1,6936
314,516,35,2,6936
315,517,35,3,6936
316,518,35,1,48540
317,519,35,2,48540
318,520,35,3,48540
319,521,35,1,21402
320,522,35,2,21402
321,523,35,3,21402
322,524,35,1,21402
323,525,35,2,21402
324,526,35,3,21402
325,527,36,1,9007
326,528,36,2,9007
327,529,36,3,9007
328,530,36,1,25849
329,531,36,2,25849
330,532,36,3,25849
331,533,36,1,21745
332,534,36,2,21745
333,535,36,3,21745
334,536,36,1,21745
335,537,36,2,21745
336,538,36,3,21745
337,539,37,1,9094
338,540,37,2,9094
339,541,37,3,9094
340,542,37,1,9211
341,543,37,2,9211
342,544,37,3,9211
343,545,37,1,10434
344,546,37,2,10434
