ID,LID,TLID,SignID,LinkID
1,1,0,0,8516
2,2,0,0,8516
3,3,0,0,92837
4,4,0,0,76960
5,5,0,0,77463
6,6,0,0,93517
7,7,0,0,8441
8,8,0,0,8441
9,9,0,0,69583
10,10,0,0,33549
11,11,0,0,7031
12,12,0,0,7031
13,13,0,0,73188
14,14,0,0,73188
15,15,0,0,73888
16,16,0,0,72973
17,17,0,0,6329
18,18,0,0,6156
19,19,0,0,5787
20,20,0,0,5787
21,21,0,0,78637
22,22,0,0,12265
23,23,0,0,6543
24,24,0,0,6543
25,25,0,0,72315
26,26,0,0,5268
27,27,0,0,71678
28,28,0,0,4751
29,29,0,0,6471
30,30,0,0,6400
31,31,0,0,74518
32,32,0,0,3448
33,33,0,0,18593
34,34,0,0,18593
35,35,0,0,101781
36,36,0,0,81894
37,37,0,0,915
38,38,0,0,1111
39,39,0,0,1864
40,40,0,0,1864
41,41,0,0,71203
42,42,0,0,71203
43,43,0,0,2685
44,44,0,0,2685
45,45,0,0,5103
46,46,0,0,5103
47,47,0,0,15272
48,48,0,0,15272
49,49,0,0,75645
50,50,0,0,75645
51,51,0,0,75029
52,52,0,0,75029
53,53,0,0,5439
54,54,0,0,5603
55,55,0,0,3884
56,56,0,0,3884
57,57,0,0,74863
58,58,0,0,3527
59,59,0,0,2416
60,60,0,0,2326
61,61,0,0,2236
62,62,0,0,2139
63,63,0,0,718
64,64,0,0,528
65,65,0,0,344
66,66,0,0,160
67,67,0,0,4590
68,68,0,0,4418
69,69,0,0,4050
70,70,0,0,4050
71,71,0,0,2930
72,72,0,0,2930
73,73,0,0,19249
74,74,0,0,19249
75,75,0,0,7169
76,76,0,0,75918
77,77,0,0,69463
78,78,0,0,69463
79,79,0,0,3772
80,80,0,0,3772
81,81,0,0,19524
82,82,0,0,19524
83,83,0,0,11234
84,84,0,0,11234
85,85,0,0,6769
86,86,0,0,6818
87,87,0,0,6958
88,88,0,0,33685
89,89,0,0,93079
90,90,0,0,69771
91,91,0,0,1987
92,92,0,0,93670
93,93,0,0,68824
94,94,0,0,69313
95,95,0,0,8327
96,96,0,0,10120
97,97,0,0,9509
98,98,0,0,77283
99,99,0,0,77143
100,100,0,0,83558
101,101,0,0,7890
102,102,0,0,7287
103,103,0,0,24753
104,104,0,0,33345
105,105,0,0,92737
106,106,0,0,21607
107,107,0,0,7412
108,108,0,0,7412
109,109,0,0,7750
110,110,0,0,83888
111,111,0,0,77796
112,112,0,0,10015
113,113,0,0,9404
114,114,0,0,8987
115,115,0,0,36731
116,116,0,0,36731
117,117,0,0,68530
118,118,0,0,69114
119,119,0,0,10529
120,120,0,0,9917
121,121,0,0,9306
122,122,0,0,9189
123,123,0,0,69931
124,124,0,0,73523
125,125,0,0,9102
126,126,0,0,9102
127,127,0,0,10648
128,128,0,0,10795
129,129,0,0,10934
130,130,0,0,11064
131,131,0,0,37785
132,132,0,0,94071
133,133,0,0,68262
134,134,0,0,68119
135,135,0,0,67837
136,136,0,0,67837
137,137,0,0,11376
138,138,0,0,11376
139,139,0,0,12111
140,140,0,0,11909
141,141,0,0,11539
142,142,0,0,11539
143,143,0,0,79617
144,144,0,0,14222
145,145,0,0,47269
146,146,0,0,12581
147,147,0,0,39759
148,148,0,0,94394
149,149,0,0,12419
150,150,0,0,12419
151,151,0,0,13837
152,152,0,0,13374
153,153,0,0,12906
154,154,0,0,12741
155,155,0,0,14420
156,156,0,0,14420
157,157,0,0,47080
158,158,0,0,80150
159,159,0,0,44120
160,160,0,0,95348
161,161,0,0,95348
162,162,0,0,66970
163,163,0,0,44726
164,164,0,0,95057
165,165,0,0,96569
166,166,0,0,96569
167,167,0,0,14674
168,168,0,0,79933
169,169,0,0,14928
170,170,0,0,14928
171,171,0,0,15100
172,172,0,0,71943
173,173,0,0,96756
174,174,0,0,66174
175,175,0,0,19884
176,176,0,0,20164
177,177,0,0,21039
178,178,0,0,21039
179,179,0,0,16244
180,180,0,0,16244
181,181,0,0,1495
182,182,0,0,71397
183,183,0,0,15692
184,184,0,0,15692
185,185,0,0,20437
186,186,0,0,81110
187,187,0,0,65462
188,188,0,0,65649
189,189,0,0,97125
190,190,0,0,47929
191,191,0,0,105715
192,192,0,0,55965
193,193,0,0,59372
194,194,0,0,59372
195,195,0,0,16796
196,196,0,0,16796
197,197,0,0,97321
198,198,0,0,81544
199,199,0,0,81788
200,200,0,0,16605
201,201,0,0,16964
202,202,0,0,16964
203,203,0,0,19165
204,204,0,0,19165
205,205,0,0,61906
206,206,0,0,61906
207,207,0,0,17137
208,208,0,0,17137
209,209,0,0,17504
210,210,0,0,17700
211,211,0,0,19440
212,212,0,0,19440
213,213,0,0,107561
214,214,0,0,63610
215,215,0,0,18057
216,216,0,0,18057
217,217,0,0,18120
218,218,0,0,18413
219,219,0,0,2080
220,220,0,0,2080
221,221,0,0,8707
222,222,0,0,8600
223,223,0,0,17961
224,224,0,0,83265
225,225,0,0,8245
226,226,0,0,8245
227,227,0,0,18515
228,228,0,0,18515
229,229,0,0,82939
230,230,0,0,21119
231,231,0,0,21424
232,232,0,0,22957
233,233,0,0,87205
234,234,0,0,25079
235,235,0,0,85084
236,236,0,0,87417
237,237,0,0,84021
238,238,0,0,76117
239,239,0,0,21531
240,240,0,0,21531
241,241,0,0,85527
242,242,0,0,22746
243,243,0,0,87567
244,244,0,0,85265
245,245,0,0,22595
246,246,0,0,21719
247,247,0,0,24652
248,248,0,0,33244
249,249,0,0,92635
250,250,0,0,91813
251,251,0,0,21832
252,252,0,0,21832
253,253,0,0,21915
254,254,0,0,21915
255,255,0,0,10223
256,256,0,0,76743
257,257,0,0,85966
258,258,0,0,22454
259,259,0,0,87845
260,260,0,0,85786
261,261,0,0,22322
262,262,0,0,23170
263,263,0,0,23384
264,264,0,0,23489
265,265,0,0,21995
266,266,0,0,23271
267,267,0,0,22105
268,268,0,0,22215
269,269,0,0,76589
270,270,0,0,8029
271,271,0,0,83697
272,272,0,0,36016
273,273,0,0,23688
274,274,0,0,23588
275,275,0,0,86252
276,276,0,0,23813
277,277,0,0,24554
278,278,0,0,35669
279,279,0,0,35025
280,280,0,0,86547
281,281,0,0,24033
282,282,0,0,23860
283,283,0,0,23849
284,284,0,0,23849
285,285,0,0,24172
286,286,0,0,23999
287,287,0,0,86136
288,288,0,0,24314
289,289,0,0,31007
290,290,0,0,30662
291,291,0,0,30299
292,292,0,0,29923
293,293,0,0,86377
294,294,0,0,10423
295,295,0,0,9812
296,296,0,0,33044
297,297,0,0,76843
298,298,0,0,76843
299,299,0,0,9712
300,300,0,0,24414
301,301,0,0,91672
302,302,0,0,35532
303,303,0,0,31514
304,304,0,0,31514
305,305,0,0,84132
306,306,0,0,76227
307,307,0,0,8916
308,308,0,0,24862
309,309,0,0,35871
310,310,0,0,35239
311,311,0,0,34406
312,312,0,0,34406
313,313,0,0,25158
314,314,0,0,25158
315,315,0,0,88344
316,316,0,0,88344
317,317,0,0,91024
318,318,0,0,91024
319,319,0,0,28728
320,320,0,0,28728
321,321,0,0,87099
322,322,0,0,87099
323,323,0,0,88445
324,324,0,0,88445
325,325,0,0,64188
326,326,0,0,64259
327,327,0,0,25411
328,328,0,0,25338
329,329,0,0,25844
330,330,0,0,25844
331,331,0,0,89012
332,332,0,0,54620
333,333,0,0,25508
334,334,0,0,88541
335,335,0,0,29227
336,336,0,0,32629
337,337,0,0,92416
338,338,0,0,90482
339,339,0,0,26023
340,340,0,0,25919
341,341,0,0,54517
342,342,0,0,98882
343,343,0,0,98557
344,344,0,0,50366
345,345,0,0,26997
346,346,0,0,88902
