ID,LID,TLID,SignID,LinkID
1,13541,0,0,8627
2,13542,0,0,8627
3,13543,0,0,93537
4,13544,0,0,77183
5,13545,0,0,77688
6,13546,0,0,92075
7,13547,0,0,8552
8,13548,0,0,8552
9,13621,0,0,72904
10,13622,0,0,72904
11,13623,0,0,73627
12,13624,0,0,72677
13,13625,0,0,68711
14,13626,0,0,33513
15,13627,0,0,7280
16,13628,0,0,7280
17,13705,0,0,6108
18,13706,0,0,6108
19,13707,0,0,6632
20,13708,0,0,6632
21,13709,0,0,12483
22,13710,0,0,12483
23,13711,0,0,6827
24,13712,0,0,6827
25,13835,0,0,72045
26,13836,0,0,5612
27,13837,0,0,74266
28,13838,0,0,3892
29,13839,0,0,71184
30,13840,0,0,5106
31,13841,0,0,6762
32,13842,0,0,6697
33,13886,0,0,1347
34,13887,0,0,2273
35,13888,0,0,1538
36,13889,0,0,1538
37,13890,0,0,20234
38,13891,0,0,20234
39,13892,0,0,102212
40,13893,0,0,82411
41,13966,0,0,5459
42,13967,0,0,5459
43,13968,0,0,15475
44,13969,0,0,15475
45,13970,0,0,70699
46,13971,0,0,70699
47,13972,0,0,3123
48,13973,0,0,3123
49,14059,0,0,5765
50,14060,0,0,5765
51,14061,0,0,74777
52,14062,0,0,74777
53,14063,0,0,75775
54,14064,0,0,75775
55,14097,0,0,612
56,14098,0,0,801
57,14099,0,0,985
58,14100,0,0,1163
59,14101,0,0,2585
60,14102,0,0,2675
61,14103,0,0,2765
62,14104,0,0,2849
63,14177,0,0,4056
64,14178,0,0,4056
65,14179,0,0,3968
66,14180,0,0,3968
67,14251,0,0,3368
68,14252,0,0,3368
69,14253,0,0,4437
70,14254,0,0,4437
71,14255,0,0,4945
72,14256,0,0,4945
73,14257,0,0,20879
74,14258,0,0,20879
75,14361,0,0,232
76,14362,0,0,232
77,14363,0,0,69047
78,14364,0,0,69047
79,14365,0,0,288
80,14366,0,0,288
81,14367,0,0,4283
82,14368,0,0,4283
83,14488,0,0,7207
84,14489,0,0,7207
85,14490,0,0,69213
86,14491,0,0,69213
87,14492,0,0,11458
88,14493,0,0,11458
89,14494,0,0,7025
90,14495,0,0,7025
91,14524,0,0,77365
92,14525,0,0,84384
93,14526,0,0,7398
94,14527,0,0,7398
95,14528,0,0,8438
96,14529,0,0,8438
97,14530,0,0,10417
98,14531,0,0,77504
99,14551,0,0,92227
100,14552,0,0,92227
101,14553,0,0,92227
102,14554,0,0,68909
103,14587,0,0,7523
104,14588,0,0,7523
105,14589,0,0,8047
106,14590,0,0,84716
107,14591,0,0,24526
108,14592,0,0,33309
109,14593,0,0,21447
110,14594,0,0,21447
111,14627,0,0,35910
112,14628,0,0,35910
113,14629,0,0,67167
114,14630,0,0,67763
115,14631,0,0,78018
116,14632,0,0,9698
