x,y,z,yaw,velocity,change_flag
53.1739,-59.9400,-0.0001,-0.2841,35.5844,0
55.0197,-60.3730,-0.0001,-0.1004,34.4749,0
56.3795,-60.5481,-0.0002,-0.0945,1.9907,0
58.3553,-60.7397,-0.0001,-0.0888,19.5392,0
59.5722,-60.8448,-0.0001,-0.0881,22.6486,0
61.4719,-60.9996,-0.0001,-0.0868,8.8862,0
62.7501,-61.1009,-0.0001,-0.0876,34.3394,0
64.0394,-61.2041,-0.0001,-0.0867,23.9677,0
66.0318,-61.3534,-0.0001,-0.0210,38.1848,0
67.3712,-61.3257,-0.0001,0.1298,21.7616,0
69.2598,-61.1083,-0.0001,0.1371,30.5035,0
70.5509,-60.9332,-0.0001,0.1361,31.5047,0
72.4358,-60.6660,-0.0001,0.1373,31.4384,0
73.7269,-60.4670,-0.0002,0.1890,16.2767,0
75.0886,-60.1316,-0.0001,0.4612,38.7790,0
76.8770,-59.2803,-0.0002,0.6029,30.4257,0
77.9400,-58.5746,-0.0001,0.6995,14.9073,0
79.4463,-57.3178,-0.0003,0.8192,16.3606,0
80.3943,-56.3412,-0.0001,0.8941,15.9466,0
81.2792,-55.2964,-0.0002,0.9045,14.6206,0
82.3645,-53.5697,-0.0001,1.4960,17.5377,0
82.5556,-52.2227,-0.0001,1.7136,32.4662,0
82.1864,-50.1939,-0.0001,1.7988,27.8595,0
81.9638,-48.9058,-0.0002,1.4774,16.6383,0
82.0176,-47.6104,-0.0001,1.4405,34.7591,0
82.2402,-45.6552,-0.0001,1.4425,19.6840,0
82.3849,-44.4519,-0.0001,1.4434,28.3578,0
82.6223,-42.4987,-0.0001,1.4449,33.8570,0
82.7930,-41.0706,-0.0001,1.4459,23.8725,0
82.9451,-39.7917,-0.0001,1.4468,34.6829,0
83.1844,-37.7629,-0.0001,1.4483,23.6793,0
83.3254,-36.5596,-0.0001,1.4491,19.7870,0
83.4609,-35.1923,-0.0002,1.5293,32.4981,0
83.4850,-33.2574,-0.0001,1.6111,27.6951,0
83.4386,-31.8238,-0.0001,1.6184,15.3650,0
83.4182,-29.7931,-0.0001,1.4943,31.1184,0
83.4998,-28.5769,-0.0001,1.4951,32.0233,0
83.5870,-27.3183,-0.0001,1.4892,33.1385,0
83.6668,-26.2846,-0.0001,1.4369,7.3316,0
83.8764,-23.9848,-0.0001,1.4441,17.8881,0
84.0174,-22.7060,-0.0002,1.4674,23.4745,0
84.0452,-21.1931,-0.0001,1.7888,34.4569,0
83.6334,-19.2288,-0.0002,1.9853,25.8037,0
83.1288,-18.0273,-0.0001,2.1674,32.3025,0
82.4387,-17.0175,-0.0002,2.2912,29.7305,0
80.9453,-15.6060,-0.0001,2.5841,17.5301,0
79.8248,-14.9279,-0.0001,2.6698,31.9595,0
78.5967,-14.3050,-0.0001,2.6962,31.9984,0
76.6377,-13.4279,-0.0001,2.9453,34.4715,0
75.3650,-13.1386,-0.0000,-2.9867,20.7035,0
74.0238,-13.2547,-0.0001,-2.9633,32.8718,0
72.0518,-13.5458,-0.0001,-3.1228,31.6829,0
70.5862,-13.5827,-0.0002,3.1285,30.6256,0
69.2134,-13.5587,-0.0002,3.1334,34.3820,0
67.2321,-13.5311,-0.0001,-3.1400,30.0534,0
66.0040,-13.5311,-0.0001,-3.1382,38.1666,0
64.0524,-13.5495,-0.0001,-3.1226,28.2098,0
62.6907,-13.5753,-0.0001,-3.1193,36.0986,0
60.6408,-13.4334,-0.0002,2.9164,30.8081,0
59.2940,-13.1441,-0.0003,2.9053,15.1895,0
57.4462,-12.4642,-0.0002,2.4394,35.9978,0
56.1458,-11.2996,-0.0002,1.9318,32.3280,0
55.5670,-10.1552,-0.0001,1.6381,27.3159,0
55.3703,-8.7400,-0.0001,1.6372,21.6621,0
55.2108,-6.8678,-0.0001,1.6438,33.4082,0
55.1088,-5.5153,-0.0002,1.6506,21.1532,0
55.0012,-4.0816,-0.0002,1.6569,14.9499,0
54.8435,-2.1984,-0.0002,1.6667,36.9290,0
54.7062,-0.7647,-0.0001,1.6739,29.6937,0
54.6524,0.6136,-0.0003,1.4150,21.1797,0
54.9288,2.5411,-0.0001,1.3706,18.1394,0
55.2275,4.0263,-0.0001,1.3779,7.6463,0
55.5744,5.3715,-0.0001,1.0937,21.8211,0
56.6170,7.2419,-0.0001,0.8916,30.2165,0
57.4500,8.2093,-0.0001,0.7741,33.8987,0
58.9823,9.6632,-0.0002,0.5602,10.1228,0
60.2030,10.3948,-0.0003,-0.0391,21.5378,0
61.4533,10.5182,-0.0003,-0.4000,10.5503,0
63.1545,9.8899,-0.0001,-0.4262,22.5017,0
64.3399,9.3739,-0.0001,-0.4250,8.4531,0
66.3695,8.6792,-0.0003,0.0405,23.2539,0
67.7126,8.6442,-0.0001,0.1187,15.2850,0
69.0705,8.7842,-0.0001,0.1189,28.1571,0
70.9925,8.9888,-0.0001,0.0386,14.9950,0
72.3003,9.0201,-0.0001,0.0200,39.9729,0
74.2056,9.0551,-0.0001,0.0277,4.6134,0
75.5005,9.0846,-0.0001,0.0335,15.9988,0
76.7935,9.1233,-0.0001,0.0340,30.8810,0
78.6969,9.1786,-0.0001,0.0411,20.3101,0
80.1402,9.2339,-0.0002,0.0465,34.8422,0
82.2012,9.3371,-0.0001,0.0473,29.3784,0
83.4182,9.4016,-0.0001,0.0481,25.7654,0
84.7131,9.4716,-0.0001,0.0490,34.2674,0
86.7278,9.5453,-0.0001,-0.0762,36.1239,0
87.9633,9.4495,-0.0002,-0.1137,32.5391,0
89.9409,9.2247,-0.0001,-0.1088,15.1614,0
91.1282,9.1030,-0.0002,-0.1218,18.8178,0
92.6160,8.9796,-0.0001,-0.1864,18.9024,0
94.3561,8.7492,-0.0001,-0.2031,30.9306,0
95.7196,8.4802,-0.0001,-0.2154,30.5381,0
97.6063,8.0601,-0.0002,-0.2346,32.1657,0
