VID,PID,Hang,Vang
326,37336,114.0687633,90
327,51892,31.21373845,90
328,51893,227.4011817,90
329,51894,63.40975723,90
330,51895,46.26550581,90
331,51896,221.5549742,90
332,51897,61.0373818,90
333,51898,247.3560142,90
334,51899,36.13944785,90
335,51900,270,90
336,51901,40.55950287,90
337,51902,234.1067685,90
338,51903,45.12980941,90
339,51904,225.5533037,90
340,51905,85.58198321,90
341,51906,31.21373845,90
342,51907,227.4453279,90
343,51908,63.40975723,90
344,51909,46.2655058,90
345,51910,221.5549742,90
346,51911,61.0373818,90
347,51912,247.3560142,90
348,51913,36.13944785,90
349,51914,218.0278004,90
350,51915,40.55950287,90
351,51916,234.1067685,90
352,51917,45.12980942,90
353,51918,225.5533037,90
354,51919,85.58198321,90
355,51920,31.21373845,90
356,51921,227.4453279,90
357,51922,63.40975724,90
358,51923,46.26550581,90
359,51924,221.5549742,90
360,51925,61.0373818,90
361,51926,247.3560142,90
362,51927,36.13944784,90
363,51928,218.0278004,90
364,51929,40.55950287,90
365,51930,234.1067685,90
366,51931,270,90
367,51932,225.5533037,90
368,51933,85.58198322,90
369,51934,85.58198322,90
370,51935,72.11833325,90
371,51936,0,0
372,51937,0,0
373,51938,0,0
374,51939,0,0
375,51940,0,0
376,51941,0,0
377,51942,0,0
378,51943,0,0
379,51944,0,0
380,51945,0,0
381,51946,0,0
382,51947,0,0
383,51948,0,0
