ID,LID,Width,Color,type,LinkID
213,213,0.15,W,0,2281
214,214,0.15,W,0,2281
215,215,0.15,W,0,2281
216,216,0.15,W,0,2280
217,217,0.15,W,0,2280
218,218,0.15,W,0,2280
219,219,0.15,W,0,2272
220,220,0.15,W,0,2272
221,221,0.15,W,0,2272
222,222,0.15,W,0,2271
223,223,0.15,W,0,2271
224,224,0.15,W,0,2271
225,225,0.15,W,0,2271
226,226,0.15,W,0,2270
227,227,0.15,W,0,2270
228,228,0.15,W,0,2270
229,229,0.15,W,0,2270
230,230,0.15,W,0,2269
231,231,0.15,W,0,2269
232,232,0.15,W,0,2269
233,233,0.15,W,0,2268
234,234,0.15,W,0,2268
235,235,0.15,W,0,2268
236,236,0.15,W,0,2267
237,237,0.15,W,0,2267
238,238,0.15,W,0,1093
239,239,0.15,W,0,1087
240,240,0.15,W,0,1081
241,241,0.15,W,0,1075
242,242,0.15,W,0,1069
243,243,0.15,W,0,1424
244,244,0.15,W,0,1422
245,245,0.15,W,0,1420
246,246,0.15,W,0,1418
247,247,0.15,W,0,1416
248,248,0.15,W,0,1414
249,249,0.15,W,0,1410
250,250,0.15,W,0,1406
251,251,0.15,W,0,11335
252,252,0.15,W,0,11335
253,253,0.15,W,0,11335
254,254,0.15,W,0,11335
255,255,0.15,W,0,11336
256,256,0.15,W,0,11336
257,257,0.15,W,0,11336
258,258,0.15,W,0,11336
259,259,0.15,W,0,11336
260,260,0.15,W,0,11336
261,261,0.15,W,0,11337
262,262,0.15,W,0,11337
263,263,0.15,W,0,11337
264,264,0.15,W,0,11337
265,265,0.15,W,0,5134
266,266,0.15,W,0,5136
267,267,0.15,W,0,5138
268,268,0.15,W,0,5139
269,269,0.15,W,0,5141
270,270,0.15,W,0,5143
271,271,0.15,W,0,5145
272,272,0.15,W,0,5146
273,273,0.15,W,0,5147
274,274,0.15,W,0,5149
275,275,0.15,W,0,5150
276,276,0.15,W,0,5151
277,277,0.15,W,0,5153
278,278,0.15,W,0,5155
279,279,0.15,W,0,5157
280,280,0.15,W,0,5158
281,281,0.15,W,0,5159
282,282,0.15,W,0,5160
283,283,0.15,W,0,5162
284,284,0.15,W,0,5163
285,285,0.15,W,0,5104
286,286,0.15,W,0,5106
287,287,0.15,W,0,5107
288,288,0.15,W,0,5107
289,289,0.15,W,0,5109
290,290,0.15,W,0,5111
291,291,0.15,W,0,5111
292,292,0.15,W,0,5113
293,293,0.15,W,0,5114
294,294,0.15,W,0,5116
295,295,0.15,W,0,5118
296,296,0.15,W,0,5119
297,297,0.15,W,0,5120
298,298,0.15,W,0,5122
299,299,0.15,W,0,5123
300,300,0.15,W,0,5124
301,301,0.15,W,0,5126
302,302,0.15,W,0,5127
303,303,0.15,W,0,5127
304,304,0.15,W,0,4378
305,305,0.15,W,0,4380
306,306,0.15,W,0,4382
307,307,0.15,W,0,4384
308,308,0.15,W,0,4387
309,309,0.15,W,0,4389
310,310,0.15,W,0,4390
311,311,0.15,W,0,4391
312,312,0.15,W,0,4393
313,313,0.15,W,0,4395
314,314,0.15,W,0,4397
315,315,0.15,W,0,4398
316,316,0.15,W,0,4400
317,317,0.15,W,0,4402
318,318,0.15,W,0,4404
319,319,0.15,W,0,4406
320,320,0.15,W,0,4406
321,321,0.15,W,0,4408
322,322,0.15,W,0,4411
323,323,0.15,W,0,4413
324,324,0.15,W,0,4414
325,325,0.15,W,0,4415
326,326,0.15,W,0,4417
327,327,0.15,W,0,4419
328,328,0.15,W,0,4421
329,329,0.15,W,0,4422
330,330,0.15,W,0,4424
331,331,0.15,W,0,4426
332,332,0.15,W,0,4426
333,333,0.15,W,0,4428
334,334,0.15,W,0,4431
335,335,0.15,W,0,4432
336,336,0.15,W,0,4435
337,337,0.15,W,0,4436
338,338,0.15,W,0,4438
339,339,0.15,W,0,4440
340,340,0.15,W,0,4442
341,341,0.15,W,0,4443
342,342,0.15,W,0,4445
343,343,0.15,W,0,4446
344,344,0.15,W,0,4449
345,345,0.15,W,0,4451
346,346,0.15,W,0,4451
347,347,0.15,W,0,4453
348,348,0.15,W,0,4456
349,349,0.15,W,0,4458
350,350,0.15,W,0,4459
