PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
72,35.13141165,136.5901925,50.127,-86453.214,-16640.787,7,5236,67,68
73,35.13141384,136.5901954,50.15,-86452.541,-16640.048,7,5236,67,68
74,35.13141417,136.5901959,50.154,-86452.44,-16639.937,7,5236,67,68
75,35.13141603,136.5901984,50.175,-86451.87,-16639.306,7,5236,67,68
76,35.1314182,136.5902013,50.204,-86451.201,-16638.563,7,5236,67,68
77,35.13142037,136.5902042,50.232,-86450.533,-16637.818,7,5236,67,68
78,35.13142254,136.5902072,50.26,-86449.868,-16637.072,7,5236,67,68
79,35.1314247,136.5902101,50.284,-86449.203,-16636.325,7,5236,67,68
80,35.13142686,136.5902131,50.306,-86448.539,-16635.577,7,5236,67,68
81,35.13142889,136.5902159,50.327,-86447.913,-16634.872,7,5236,67,68
82,35.13142902,136.590216,50.328,-86447.875,-16634.829,7,5236,67,68
83,35.13143117,136.590219,50.351,-86447.211,-16634.081,7,5236,67,68
84,35.13143333,136.5902219,50.373,-86446.548,-16633.333,7,5236,67,68
85,35.13143549,136.5902249,50.398,-86445.884,-16632.585,7,5236,67,68
86,35.13143765,136.5902278,50.422,-86445.22,-16631.837,7,5236,67,68
87,35.13143981,136.5902308,50.446,-86444.556,-16631.089,7,5236,67,68
88,35.13144197,136.5902338,50.47,-86443.893,-16630.341,7,5236,67,68
89,35.13144412,136.5902367,50.493,-86443.229,-16629.593,7,5236,67,68
90,35.13144628,136.5902397,50.517,-86442.565,-16628.845,7,5236,67,68
91,35.13144844,136.5902426,50.54,-86441.902,-16628.097,7,5236,67,68
92,35.1314506,136.5902456,50.566,-86441.238,-16627.349,7,5236,67,68
93,35.13145276,136.5902485,50.609,-86440.574,-16626.601,7,5236,67,68
94,35.13145492,136.5902515,50.655,-86439.91,-16625.853,7,5236,67,68
95,35.13145707,136.5902544,50.701,-86439.247,-16625.105,7,5236,67,68
96,35.13145923,136.5902574,50.741,-86438.583,-16624.357,7,5236,67,68
97,35.13146139,136.5902603,50.784,-86437.919,-16623.609,7,5236,67,68
98,35.13146355,136.5902633,50.82,-86437.256,-16622.861,7,5236,67,68
99,35.13146571,136.5902662,50.852,-86436.592,-16622.113,7,5236,67,68
100,35.13146787,136.5902692,50.874,-86435.928,-16621.365,7,5236,67,68
101,35.13147002,136.5902721,50.898,-86435.264,-16620.617,7,5236,67,68
102,35.13147218,136.5902751,50.922,-86434.601,-16619.869,7,5236,67,68
103,35.13147434,136.5902781,50.941,-86433.937,-16619.121,7,5236,67,68
104,35.1314765,136.590281,50.952,-86433.273,-16618.373,7,5236,67,68
105,35.13147866,136.590284,50.959,-86432.61,-16617.625,7,5236,67,68
106,35.13148082,136.5902869,50.964,-86431.946,-16616.877,7,5236,67,68
107,35.13148297,136.5902899,50.984,-86431.282,-16616.13,7,5236,67,68
108,35.13148513,136.5902928,51.005,-86430.618,-16615.382,7,5236,67,68
109,35.13148729,136.5902958,51.027,-86429.955,-16614.634,7,5236,67,68
110,35.13148945,136.5902987,51.051,-86429.291,-16613.886,7,5236,67,68
111,35.13149161,136.5903017,51.075,-86428.627,-16613.138,7,5236,67,68
112,35.13149377,136.5903046,51.097,-86427.964,-16612.39,7,5236,67,68
113,35.13149592,136.5903076,51.118,-86427.3,-16611.642,7,5236,67,68
114,35.13149808,136.5903105,51.138,-86426.636,-16610.894,7,5236,67,68
115,35.13150024,136.5903135,51.159,-86425.972,-16610.146,7,5236,67,68
116,35.1315024,136.5903164,51.181,-86425.309,-16609.398,7,5236,67,68
117,35.13150456,136.5903194,51.205,-86424.645,-16608.65,7,5236,67,68
118,35.13150672,136.5903223,51.228,-86423.981,-16607.902,7,5236,67,68
119,35.13150887,136.5903253,51.252,-86423.317,-16607.154,7,5236,67,68
120,35.13151103,136.5903283,51.276,-86422.654,-16606.406,7,5236,67,68
121,35.13151319,136.5903312,51.303,-86421.99,-16605.658,7,5236,67,68
122,35.13151535,136.5903342,51.33,-86421.326,-16604.91,7,5236,67,68
123,35.13151751,136.5903371,51.357,-86420.663,-16604.162,7,5236,67,68
124,35.13151967,136.5903401,51.382,-86419.999,-16603.414,7,5236,67,68
125,35.13152182,136.590343,51.406,-86419.335,-16602.666,7,5236,67,68
126,35.13152398,136.590346,51.43,-86418.671,-16601.918,7,5236,67,68
127,35.13152614,136.5903489,51.454,-86418.008,-16601.17,7,5236,67,68
128,35.1315283,136.5903519,51.478,-86417.344,-16600.422,7,5236,67,68
129,35.13153046,136.5903548,51.502,-86416.68,-16599.674,7,5236,67,68
130,35.13153262,136.5903578,51.526,-86416.017,-16598.926,7,5236,67,68
131,35.13153477,136.5903607,51.551,-86415.353,-16598.178,7,5236,67,68
132,35.13153693,136.5903637,51.575,-86414.689,-16597.43,7,5236,67,68
133,35.13153909,136.5903666,51.602,-86414.025,-16596.682,7,5236,67,68
134,35.13154125,136.5903696,51.629,-86413.362,-16595.934,7,5236,67,68
135,35.13154341,136.5903726,51.656,-86412.698,-16595.186,7,5236,67,68
136,35.13154557,136.5903755,51.684,-86412.034,-16594.438,7,5236,67,68
137,35.13154772,136.5903785,51.708,-86411.371,-16593.69,7,5236,67,68
138,35.13154988,136.5903814,51.732,-86410.707,-16592.942,7,5236,67,68
139,35.13155204,136.5903844,51.755,-86410.043,-16592.194,7,5236,67,68
140,35.1315542,136.5903873,51.779,-86409.379,-16591.446,7,5236,67,68
141,35.13155636,136.5903903,51.805,-86408.716,-16590.698,7,5236,67,68
142,35.13155852,136.5903932,51.833,-86408.052,-16589.95,7,5236,67,68
143,35.13156067,136.5903962,51.861,-86407.388,-16589.202,7,5236,67,68
144,35.13156283,136.5903991,51.889,-86406.725,-16588.454,7,5236,67,68
145,35.13156499,136.5904021,51.915,-86406.061,-16587.706,7,5236,67,68
146,35.13156715,136.590405,51.941,-86405.397,-16586.958,7,5236,67,68
147,35.13156931,136.590408,51.966,-86404.733,-16586.21,7,5236,67,68
148,35.13157147,136.5904109,51.991,-86404.07,-16585.462,7,5236,67,68
149,35.13157362,136.5904139,52.018,-86403.406,-16584.714,7,5236,67,68
150,35.13157578,136.5904168,52.046,-86402.742,-16583.966,7,5236,67,68
151,35.13157794,136.5904198,52.074,-86402.079,-16583.218,7,5236,67,68
152,35.1315801,136.5904228,52.102,-86401.415,-16582.47,7,5236,67,68
153,35.13158226,136.5904257,52.127,-86400.751,-16581.722,7,5236,67,68
154,35.13158442,136.5904287,52.15,-86400.087,-16580.974,7,5236,67,68
155,35.13158657,136.5904316,52.173,-86399.424,-16580.226,7,5236,67,68
156,35.13158873,136.5904346,52.196,-86398.76,-16579.478,7,5236,67,68
157,35.13159089,136.5904375,52.219,-86398.096,-16578.73,7,5236,67,68
158,35.13159305,136.5904405,52.242,-86397.433,-16577.982,7,5236,67,68
159,35.13159521,136.5904434,52.266,-86396.769,-16577.234,7,5236,67,68
160,35.13159737,136.5904464,52.29,-86396.105,-16576.486,7,5236,67,68
161,35.13159952,136.5904493,52.314,-86395.441,-16575.738,7,5236,67,68
162,35.13160168,136.5904523,52.338,-86394.778,-16574.99,7,5236,67,68
163,35.13160384,136.5904552,52.362,-86394.114,-16574.242,7,5236,67,68
164,35.131606,136.5904582,52.387,-86393.45,-16573.494,7,5236,67,68
165,35.13160816,136.5904611,52.412,-86392.787,-16572.746,7,5236,67,68
166,35.13161032,136.5904641,52.437,-86392.123,-16571.998,7,5236,67,68
167,35.13161247,136.5904671,52.462,-86391.459,-16571.25,7,5236,67,68
168,35.13161463,136.59047,52.487,-86390.795,-16570.502,7,5236,67,68
169,35.13161679,136.590473,52.514,-86390.132,-16569.754,7,5236,67,68
170,35.13161895,136.5904759,52.542,-86389.468,-16569.006,7,5236,67,68
171,35.13162111,136.5904789,52.57,-86388.804,-16568.258,7,5236,67,68
172,35.13162327,136.5904818,52.598,-86388.141,-16567.511,7,5236,67,68
173,35.13162542,136.5904848,52.621,-86387.477,-16566.763,7,5236,67,68
174,35.13162758,136.5904877,52.645,-86386.813,-16566.015,7,5236,67,68
175,35.13162974,136.5904907,52.668,-86386.149,-16565.267,7,5236,67,68
176,35.1316319,136.5904936,52.691,-86385.486,-16564.519,7,5236,67,68
177,35.13163406,136.5904966,52.718,-86384.822,-16563.771,7,5236,67,68
178,35.13163621,136.5904995,52.745,-86384.158,-16563.023,7,5236,67,68
179,35.13163837,136.5905025,52.772,-86383.495,-16562.275,7,5236,67,68
180,35.13164053,136.5905054,52.798,-86382.831,-16561.527,7,5236,67,68
181,35.13164269,136.5905084,52.822,-86382.167,-16560.779,7,5236,67,68
182,35.13164485,136.5905114,52.846,-86381.503,-16560.031,7,5236,67,68
183,35.13164701,136.5905143,52.869,-86380.84,-16559.283,7,5236,67,68
184,35.13164916,136.5905173,52.891,-86380.176,-16558.535,7,5236,67,68
185,35.13165132,136.5905202,52.913,-86379.512,-16557.787,7,5236,67,68
186,35.13165348,136.5905232,52.935,-86378.849,-16557.039,7,5236,67,68
187,35.13165564,136.5905261,52.957,-86378.185,-16556.291,7,5236,67,68
188,35.1316578,136.5905291,52.98,-86377.521,-16555.543,7,5236,67,68
189,35.13165996,136.590532,53.004,-86376.857,-16554.795,7,5236,67,68
190,35.13166211,136.590535,53.028,-86376.194,-16554.047,7,5236,67,68
191,35.13166427,136.5905379,53.053,-86375.53,-16553.299,7,5236,67,68
192,35.13166643,136.5905409,53.078,-86374.866,-16552.551,7,5236,67,68
193,35.13166859,136.5905438,53.102,-86374.203,-16551.803,7,5236,67,68
194,35.13167075,136.5905468,53.127,-86373.539,-16551.055,7,5236,67,68
195,35.13167291,136.5905497,53.151,-86372.875,-16550.307,7,5236,67,68
196,35.13167506,136.5905527,53.175,-86372.211,-16549.559,7,5236,67,68
197,35.13167722,136.5905556,53.201,-86371.548,-16548.811,7,5236,67,68
198,35.13167938,136.5905586,53.227,-86370.884,-16548.063,7,5236,67,68
199,35.13168154,136.5905616,53.254,-86370.22,-16547.315,7,5236,67,68
200,35.1316837,136.5905645,53.281,-86369.556,-16546.567,7,5236,67,68
201,35.13168586,136.5905675,53.306,-86368.893,-16545.819,7,5236,67,68
202,35.13168801,136.5905704,53.331,-86368.229,-16545.071,7,5236,67,68
203,35.13169017,136.5905734,53.356,-86367.565,-16544.323,7,5236,67,68
204,35.13169233,136.5905763,53.381,-86366.902,-16543.575,7,5236,67,68
205,35.13169449,136.5905793,53.405,-86366.238,-16542.827,7,5236,67,68
206,35.13169665,136.5905822,53.429,-86365.574,-16542.079,7,5236,67,68
207,35.13169881,136.5905852,53.454,-86364.91,-16541.331,7,5236,67,68
208,35.13170096,136.5905881,53.478,-86364.247,-16540.583,7,5236,67,68
209,35.13170312,136.5905911,53.502,-86363.583,-16539.835,7,5236,67,68
210,35.13170528,136.590594,53.525,-86362.919,-16539.087,7,5236,67,68
211,35.13170744,136.590597,53.549,-86362.256,-16538.339,7,5236,67,68
212,35.1317096,136.5905999,53.573,-86361.592,-16537.591,7,5236,67,68
213,35.13171176,136.5906029,53.596,-86360.928,-16536.843,7,5236,67,68
214,35.13171391,136.5906059,53.618,-86360.264,-16536.095,7,5236,67,68
215,35.13171607,136.5906088,53.64,-86359.601,-16535.347,7,5236,67,68
216,35.13171823,136.5906118,53.662,-86358.937,-16534.599,7,5236,67,68
217,35.13172039,136.5906147,53.686,-86358.273,-16533.851,7,5236,67,68
218,35.13172255,136.5906177,53.71,-86357.61,-16533.103,7,5236,67,68
219,35.13172471,136.5906206,53.736,-86356.946,-16532.355,7,5236,67,68
220,35.13172686,136.5906236,53.762,-86356.282,-16531.607,7,5236,67,68
221,35.13172902,136.5906265,53.787,-86355.618,-16530.859,7,5236,67,68
222,35.13173118,136.5906295,53.811,-86354.955,-16530.111,7,5236,67,68
223,35.13173334,136.5906324,53.836,-86354.291,-16529.363,7,5236,67,68
224,35.1317355,136.5906354,53.861,-86353.627,-16528.615,7,5236,67,68
225,35.13173766,136.5906383,53.886,-86352.964,-16527.867,7,5236,67,68
226,35.13173981,136.5906413,53.91,-86352.3,-16527.119,7,5236,67,68
227,35.13174197,136.5906442,53.935,-86351.636,-16526.371,7,5236,67,68
228,35.13174413,136.5906472,53.961,-86350.972,-16525.623,7,5236,67,68
229,35.13174629,136.5906502,53.987,-86350.309,-16524.875,7,5236,67,68
230,35.13174845,136.5906531,54.013,-86349.645,-16524.127,7,5236,67,68
231,35.13175061,136.5906561,54.039,-86348.981,-16523.379,7,5236,67,68
232,35.13175276,136.590659,54.065,-86348.318,-16522.631,7,5236,67,68
233,35.13175492,136.590662,54.09,-86347.654,-16521.883,7,5236,67,68
234,35.13175708,136.5906649,54.115,-86346.99,-16521.135,7,5236,67,68
235,35.13175924,136.5906679,54.142,-86346.326,-16520.387,7,5236,67,68
236,35.1317614,136.5906708,54.169,-86345.663,-16519.639,7,5236,67,68
237,35.13176356,136.5906738,54.195,-86344.999,-16518.892,7,5236,67,68
238,35.13176571,136.5906767,54.222,-86344.335,-16518.144,7,5236,67,68
239,35.13176787,136.5906797,54.248,-86343.672,-16517.396,7,5236,67,68
240,35.13177003,136.5906826,54.273,-86343.008,-16516.648,7,5236,67,68
241,35.13177219,136.5906856,54.295,-86342.344,-16515.9,7,5236,67,68
242,35.13177435,136.5906885,54.317,-86341.68,-16515.152,7,5236,67,68
243,35.13177651,136.5906915,54.339,-86341.017,-16514.404,7,5236,67,68
244,35.13177866,136.5906944,54.362,-86340.353,-16513.656,7,5236,67,68
245,35.13178082,136.5906974,54.387,-86339.689,-16512.908,7,5236,67,68
246,35.13178298,136.5907004,54.41,-86339.026,-16512.16,7,5236,67,68
247,35.13178514,136.5907033,54.434,-86338.362,-16511.412,7,5236,67,68
248,35.1317873,136.5907063,54.449,-86337.698,-16510.664,7,5236,67,68
249,35.13178945,136.5907092,54.48,-86337.034,-16509.916,7,5236,67,68
