ID,LID,LinkID
399,7236,3399
400,7237,3398
401,7238,3390
402,7239,3390
403,7240,3389
404,7241,3389
405,7242,3388
406,7243,3385
407,7244,3381
408,7245,3377
409,7246,3371
410,7247,3365
411,7248,3359
412,7249,3353
413,7250,3347
414,7251,3342
415,7252,3336
416,7253,3329
417,7254,3323
418,7255,3316
419,7256,3309
420,7257,3303
421,7258,3298
422,7259,3295
423,7260,3295
424,7261,3294
425,7262,3294
426,7263,3293
427,7264,3293
428,7265,3285
429,7266,3284
430,7267,3284
431,7268,3283
432,7269,3282
433,7270,3279
434,7271,3272
435,7272,3266
436,7273,3261
437,7274,3254
438,7275,3249
439,7276,3242
440,7277,3236
441,7278,3230
442,7279,3224
443,7280,3218
444,7281,3212
445,7282,3205
446,7283,3202
447,7284,3201
448,7285,3201
449,7286,3200
450,7287,3200
451,7288,3199
452,7289,3095
453,7290,3095
454,7291,3096
455,7292,3096
456,7293,3097
457,7294,3097
458,7295,3098
459,7296,3098
460,7297,3099
461,7298,3100
462,7299,3100
463,7300,3104
464,7301,3108
465,7302,3113
466,7303,3119
467,7304,3125
468,7305,3131
469,7306,3135
470,7307,3141
471,7308,3147
472,7309,3152
473,7310,3156
474,7311,3161
475,7312,3166
476,7313,3173
477,7314,3179
478,7315,3185
479,7316,3188
480,7317,3189
481,7318,3189
482,7319,3190
483,7320,3084
484,7321,3083
485,7322,3082
486,7323,3081
487,7324,3078
488,7325,3074
489,7326,3069
490,7327,3063
491,7328,3059
492,7329,3055
493,7330,3048
494,7331,3042
495,7332,3038
496,7333,3034
497,7334,3028
498,7335,3021
499,7336,3015
500,7337,3008
501,7338,3002
502,7339,2996
503,7340,2990
504,7341,2983
505,7342,2976
506,7343,2970
507,7344,2964
508,7345,2958
509,7346,2952
510,7347,2946
511,7348,2940
512,7349,2934
513,7350,2928
514,7351,2922
515,7352,2915
516,7353,2909
517,7354,2903
518,7355,2897
519,7356,2891
520,7357,2885
521,7358,2879
522,7359,2873
523,7360,2867
524,7361,2862
525,7362,2856
526,7363,2850
527,7364,2844
528,7365,2839
529,7366,2839
530,7367,2838
531,7368,2838
532,7369,2837
533,7370,2837
534,7371,2836
535,7372,2836
536,7373,2826
537,7374,2825
538,7375,2825
