ID,LID,Width,Color,type,LinkID
1,1,0.15,W,0,443
2,2,0.15,W,0,317
3,3,0.15,W,0,64
4,4,0.15,W,0,190
5,5,0.15,Y,0,317
6,6,0.15,Y,0,64
