ID,LID,TLID,SignID,LinkID
1,546,0,0,4114
2,547,0,0,4114
3,548,0,0,4150
4,549,0,0,4150
5,557,0,0,802
6,558,0,0,802
7,559,0,0,802
8,565,0,0,5705
9,566,0,0,5705
10,581,0,0,6738
11,582,0,0,6738
12,599,0,0,3768
13,600,0,0,3768
14,614,0,0,1249
15,615,0,0,1249
16,616,0,0,2919
17,617,0,0,2919
18,618,0,0,2919
19,633,0,0,8269
20,634,0,0,8269
21,635,0,0,8269
22,636,0,0,2252
23,637,0,0,2252
24,652,0,0,10317
25,653,0,0,10336
26,654,0,0,2998
27,655,0,0,2998
28,656,0,0,2998
29,657,0,0,2336
30,658,0,0,2336
31,659,0,0,2336
32,669,0,0,8932
33,670,0,0,8932
34,671,0,0,8932
35,688,0,0,10025
36,689,0,0,5160
37,690,0,0,2382
38,691,0,0,2382
39,710,0,0,9334
40,711,0,0,9334
41,840,0,0,5552
42,841,0,0,5552
43,857,0,0,10419
44,858,0,0,10419
