ID,LID,Width,Color,type,LinkID
218,382,0.15,W,0,3082
219,383,0.15,W,0,3094
220,384,0.15,W,0,3106
221,385,0.15,W,0,3116
222,386,0.15,W,0,3126
223,387,0.15,W,0,3136
224,388,0.15,W,0,3148
225,389,0.15,W,0,3161
226,390,0.15,W,0,3174
227,391,0.15,W,0,3186
228,392,0.15,W,0,3198
229,393,0.15,W,0,3210
230,394,0.15,W,0,3221
231,395,0.15,W,0,3233
232,396,0.15,W,0,3249
233,397,0.15,W,0,3263
234,398,0.15,W,0,3275
235,399,0.15,W,0,3286
236,400,0.15,W,0,3297
237,401,0.15,W,0,3308
238,402,0.15,W,0,3318
239,403,0.15,W,0,3327
240,404,0.15,W,0,3340
241,405,0.15,W,0,3354
242,406,0.15,W,0,3366
243,407,0.15,W,0,3375
244,408,0.15,W,0,3385
245,409,0.15,W,0,3397
246,410,0.15,W,0,3407
247,411,0.15,W,0,3417
248,412,0.15,W,0,3427
249,413,0.15,W,0,3437
250,414,0.15,W,0,3453
251,415,0.15,W,0,3477
252,416,0.15,W,0,3510
253,417,0.15,W,0,3573
254,418,0.15,W,0,3640
255,419,0.15,W,0,3688
256,420,0.15,W,0,3730
257,421,0.15,W,0,3756
258,422,0.15,W,0,3767
259,423,0.15,W,0,3784
260,424,0.15,W,0,3812
261,425,0.15,W,0,3827
262,426,0.15,W,0,3844
263,427,0.15,W,0,3869
264,428,0.15,W,0,3894
265,429,0.15,W,0,3915
266,430,0.15,W,0,3929
267,431,0.15,W,0,3936
268,432,0.15,W,0,3944
269,433,0.15,W,0,3955
270,434,0.15,W,0,3974
271,435,0.15,W,0,3996
272,436,0.15,W,0,4015
273,437,0.15,W,0,4034
274,438,0.15,W,0,4054
275,439,0.15,W,0,4074
276,440,0.15,W,0,3777
277,441,0.15,W,0,3802
278,442,0.15,W,0,3822
279,443,0.15,W,0,3691
280,444,0.15,W,0,3675
281,445,0.15,W,0,3659
282,446,0.15,W,0,3884
283,447,0.15,W,0,3625
284,448,0.15,W,0,3609
285,449,0.15,W,0,3594
286,450,0.15,W,0,3577
287,451,0.15,W,0,3554
288,452,0.15,W,0,3536
289,453,0.15,W,0,3524
290,454,0.15,W,0,3507
291,455,0.15,W,0,3494
292,456,0.15,W,0,3485
293,457,0.15,W,0,3471
294,458,0.15,W,0,3453
295,488,0.15,W,0,6697
296,489,0.15,W,0,6703
297,546,0.15,Y,0,4120
298,547,0.15,Y,0,4427
299,556,0.15,Y,0,6589
300,557,0.15,Y,0,6651
301,558,0.15,Y,0,6631
302,577,0.15,W,0,6671
303,578,0.15,W,0,6679
